,gene_name,p-value,logFC,-logQ
358,Rps3,0.002251861581366927,0.87180626,2.6474583084459455
359,Tuba1a,0.002333513096535501,2.2267969,2.6319897573512963
360,Slc25a4,0.002333513096535501,1.3996394,2.6319897573512963
361,Maged1,0.002391753011418897,1.3997929,2.6212836705515907
362,Cd164,0.0024021677199390456,1.350852,2.6193966733273153
363,Pmp22,0.002423121775305234,2.6685307,2.6156247596081985
364,Rps14,0.0024248754760695075,0.66107804,2.6153105586882877
365,Cadm1,0.0024977852341612553,1.5380914,2.6024449060853487
366,Tm9sf3,0.0025359009148344324,0.9224698,2.5958677196315234
367,B2m,0.002541389230437792,0.87031317,2.5949288148056637
368,C4b,0.0027919078368238794,3.0687366,2.554098922230632
369,Rai14,0.0029244057324718962,2.6562498,2.5339623734550836
370,Ptms,0.0030323560659596847,1.3785173,2.518219804226596
371,Rhoc,0.00315953198558933,2.1891828,2.5003772436883036
372,Ash1l,0.003268437147236973,1.0214167,2.4856598621958796
373,Txnip,0.0032985151263680928,1.3330946,2.481681519986399
374,Park7,0.0033054919063675824,1.3502545,2.4807639018895546
375,Sec11a,0.0033218233606175066,1.8232193,2.4786234650660526
376,Ahnak,0.0033358802046336736,0.8732666,2.476789553777916
377,Rpl24,0.0034189636772516316,1.3324757,2.4661055130826037
378,Ostc,0.003430985311520454,1.1027622,2.464581141209134
379,Med13,0.0035533352842411206,1.264658,2.4493638115858856
380,Cd2ap,0.003588297513796046,1.3786286,2.4451115558054046
381,RP23-4P23.3,0.0036617165849155498,0.9666755,2.436315272915405
382,Lrp4,0.003674512229595297,2.1615357,2.434800302853142
383,Unc5b,0.003707971396706664,2.2344582,2.4308636246624844
384,Peak1,0.003710556616083775,3.1224382,2.430560937511206
385,Rpl22l1,0.0037286990800280365,0.9543278,2.4284426644146855
386,Ryk,0.0037678475984136354,1.5491967,2.423906671831002
387,Tmem2,0.0037678475984136354,1.6280107,2.423906671831002
388,Rp9,0.0038259413970038727,1.1524527,2.4172616864657432
389,Eprs,0.0038579708336674485,1.1763492,2.4136410599542297
390,Fkbp10,0.003906471896038119,1.7381214,2.408215295746948
391,Pgls,0.003917324838504412,1.0685552,2.4070104137162214
392,Bin1,0.004066544079432853,2.5691235,2.3907745157895803
393,Asph,0.004100396690653167,2.2525141,2.3871741256637207
394,Ubb,0.004140214511044952,1.5833006,2.382977156813961
395,Abcc9,0.004148792413059579,3.2510324,2.382078294772895
396,Ddr2,0.004148792413059579,1.8704737,2.382078294772895
397,RP24-261H7.9,0.004186149962422149,2.2746146,2.37818521778284
398,Sema6d,0.0042500661867134375,2.677825,2.3716043065848416
399,Tmem167,0.004303018191461718,1.1057383,2.3662268178879904
400,Son,0.004317832869871294,0.8897699,2.36473417189002
401,Dlgap4,0.00432674385928782,3.344324,2.3638388140202524
402,Lgalsl,0.00433269377840633,2.9379847,2.363242004491574
403,Tnrc6c,0.004386577792561466,1.2155772,2.357874164360678
404,Antxr1,0.004395617287135481,2.3427315,2.356980127286014
405,Pja2,0.004456313317368536,1.8084258,2.351024282102593
406,Dynlrb1,0.004520860611716507,1.3271871,2.3447788830332965
407,Eif3c,0.004520860611716507,0.97790885,2.3447788830332965
408,Pam,0.004527051934695886,1.4791967,2.344184523215712
409,Ackr4,0.004533250937833412,2.8284261,2.3435902399309483
410,Sec61a1,0.004545672017963999,1.4517888,2.3424019029548693
411,Efemp2,0.004624004713350661,2.565071,2.3349817319012947
412,Psma3,0.004658856737032516,1.6602379,2.331720644192873
413,Rgs3,0.004810464646388039,2.5301187,2.317812972770376
414,Vkorc1,0.004843292038742594,2.1523032,2.314859343261836
415,Dnm3os,0.004919565528658396,2.4870744,2.308073250248487
416,RP23-338E5.2,0.004986771642174254,1.4353896,2.3021805188508813
417,Pdia4,0.005017284364853273,1.2684149,2.2995312837466546
418,Kcnk2,0.0050822551309426586,2.4805071,2.293943537007144
419,Loxl1,0.005232111002614641,1.9145375,2.2813230507480795
420,Impad1,0.0052604276282277535,1.1716485,2.278978949946865
421,Esr1,0.005313894706382023,2.3965988,2.27458705528711
422,Lamtor5,0.005353415311883695,2.2775257,2.2713690632366283
423,Steap4,0.005433253770095724,3.155894,2.2649400099711747
424,Ccnd1,0.005491991565724448,1.4451095,2.260270138398528
