,gene_name,p-value,logFC,-logQ
109,Smdt1,0.0037388622033206064,1.2030842,2.4272605405800034
110,Cd47,0.003817776208377847,0.77568007,2.4181895328085496
111,Ifi27,0.004079038952709015,1.250596,2.3894421473757697
112,Park7,0.004164440341606917,1.6620499,2.3804433550935196
113,Cldn10,0.004315780678452255,3.2364779,2.3649406336272505
114,Luzp1,0.004488839474669156,1.6559389,2.347865925120049
115,RP24-202L5.2,0.004616276541797201,1.3071048,2.3357081823091908
116,Rab2a,0.004676860986728715,0.99413216,2.3300455387068197
117,Laptm4a,0.004862958028692473,0.94588643,2.3130994787324433
118,Bax,0.004862958028692473,1.6958822,2.3130994787324433
119,Selm,0.004881026402716476,1.3276523,2.311488843127527
120,Srp14,0.005093221277592653,1.2671043,2.2930074552689663
121,Atp5g1,0.005226431119604328,1.4343832,2.281794768902087
122,Sep15,0.00556314003912081,1.1086111,2.254680007567363
123,S100a16,0.005717815638795228,1.7936839,2.242769851836496
124,Eef1d,0.005844337071933368,1.3711854,2.2332647440965516
125,Rps19,0.006527347993358521,0.914116,2.1852632330882082
126,Pde5a,0.006539119561906735,1.3795444,2.1844807218815183
127,Ifngr2,0.006562719995217986,1.3559281,2.1829161249409874
128,Rps23,0.006766437086165041,0.9016115,2.1696399518660248
129,Ltbp1,0.00687657245598026,1.3213099,2.1626279766439684
130,Rps24,0.006926036432227783,0.54290724,2.1595152283115544
131,Arl6ip5,0.007000831788185218,1.8977497,2.1548503571917315
132,Ccdc88a,0.007478313358203459,0.9094458,2.126196340881806
133,Rps15a,0.0077483925259767055,0.8043307,2.1107883864625236
134,Cnpy2,0.008013029589417946,1.2390808,2.0962032535528357
135,Rpl23,0.008055546232264576,0.6943533,2.0939050055097868
136,H3f3a,0.008126856282531021,0.8600139,2.090077420357372
137,Rps10,0.00865718840640814,0.9985164,2.062623130828207
138,Ypel3,0.008687538410709348,1.4976777,2.061103262226608
139,H2-Q7,0.008794513671875791,1.5129062,2.0557881716085067
140,Rpl26,0.009363480111415258,0.83570755,2.028562707642176
141,Pdlim4,0.009428683390200683,2.0665824,2.0255489473783954
142,Dcn,0.0098965581504674,1.7538397,2.0045158191557753
143,Sulf1,0.010438592246728747,1.7435762,1.9813580665350201
144,Cybb,0.011195977831613566,1.0521778,1.9509379701216873
145,Krtcap2,0.011253266412457308,1.0203813,1.948721399418912
146,Ssr2,0.011291603271654986,1.335068,1.9472443891115359
147,Hspa8,0.012062709483750036,0.8543988,1.9185551315261435
148,Sepw1,0.012226535568145304,0.9753788,1.9126965844013128
149,Olfml3,0.01237149738425707,1.333727,1.9075777323544147
150,Cd200,0.012392330010801214,1.3464931,1.9068470297258058
151,Col12a1,0.012455014438292613,1.1794257,1.9046557646776814
152,Saraf,0.012923343611468576,1.5262794,1.8886251083111902
153,Mrps14,0.013053744122297912,1.5515968,1.884264904537483
154,Prdx2,0.013384849774249039,0.9724061,1.8733864987826747
155,S100a11,0.013474388895561108,0.7884225,1.870490922267674
156,Prss23,0.013519356622840751,1.0610979,1.8690439756871735
157,Colec12,0.013860862062139354,0.8863465,1.8582097583831174
158,Rasl11a,0.01416297140139006,2.898545,1.8488456217982479
159,Timp2,0.014375513473481505,0.9313811,1.8423766339623686
160,Slc29a1,0.014809053283393716,0.954109,1.8294727042701435
161,Rhoa,0.014833473157709897,0.9076089,1.8287571499408226
162,Rpl17,0.014956105540285867,0.75942326,1.8251814788346108
163,Bri3,0.01633852410586168,1.3331869,1.7867871767894967
164,Sod2,0.016445255342964267,1.3658707,1.7839593789049841
165,Anxa2,0.016579530325121473,1.0149761,1.7804277765660348
166,Cdc26,0.0173213809633469,2.4278805,1.7614174864033703
167,Emilin1,0.01743372507082578,1.3923144,1.758609807103637
168,Fam96b,0.01743372507082578,2.4126887,1.758609807103637
169,Calm1,0.01757505328583492,0.7917133,1.75510334956794
170,Tuba1a,0.017660331428246454,1.0203053,1.7530011503559617
171,Ccl2,0.01871230461558281,5.523766,1.727872721308463
172,Nrd1,0.019350939811072946,1.5212649,1.7132979378878868
173,Edf1,0.02010405725210956,1.1146591,1.6967162876347475
174,Enpp4,0.02023203285323144,0.91691536,1.6939604784459004
175,Ptges3,0.020425328908804958,1.1752195,1.6898309413008623
176,Rpl3,0.020849670672690918,0.8693718,1.6809008004582155
177,Eef1b2,0.021014913525538668,0.8188451,1.6774723927372333
178,Eif3f,0.021181296374963573,1.2100242,1.674047462960182
179,Il1r1,0.021927086216639875,1.0967785,1.6590190757602388
180,Glrx3,0.02199600474091253,1.9551487,1.657656195384415
181,Polr2j,0.022203892200868592,1.9611578,1.653570889819801
182,Btf3,0.02283783943565781,0.8175185,1.6413449847324484
183,Rpl7,0.023560612762309977,0.9100302,1.627813418646001
184,Tmed10,0.023966536505850126,0.79595405,1.620394722957554
185,Pold4,0.02475834617319893,2.7528205,1.6062783690154991
186,Eif3k,0.02514329624782631,0.97013766,1.5995777875728396
187,Rcn3,0.0254158344412902,0.99124825,1.5948956271653392
188,Tmem59,0.025809607266521147,0.8933194,1.5882186038745891
189,Rer1,0.025849273196292447,1.4341058,1.5875516634511642
190,Pdgfra,0.026128413563429834,0.720765,1.5828869584917435
191,Tmed2,0.02624884047715341,1.2338355,1.5808898764674058
192,Tmem208,0.02632939131870614,1.6307598,1.579559180771741
193,Atp5d,0.027985848764277357,1.0438137,1.5530615171277242
194,Ndufs7,0.02897840303426831,1.2066973,1.5379255516638493
195,Slc50a1,0.029641921516442172,1.1372106,1.5280936469498256
